uid,rid
36,1
12,2
44,3
32,4
5,5
35,6
17,7
49,8
24,9
12,10
29,11
15,12
8,13
14,14
2,15
48,16
3,17
23,18
3,19
32,20
18,21
40,22
3,23
26,24
8,25
9,26
4,27
16,28
26,29
45,30
5,31
23,32
26,33
20,34
4,35
29,36
49,37
32,38
38,39
14,40
2,41
10,42
41,43
14,44
9,45
24,46
34,47
14,48
45,49
9,50
45,51
31,52
25,53
16,54
46,55
33,56
35,57
9,58
43,59
17,60
50,61
26,62
41,63
45,64
48,65
4,66
45,67
27,68
17,69
48,70
34,71
32,72
1,73
24,74
23,75
1,76
31,77
27,78
25,79
13,80
44,81
13,82
22,83
18,84
39,85
43,86
37,87
32,88
47,89
20,90
47,91
17,92
30,93
31,94
20,95
1,96
20,97
33,98
6,99
11,100
11,101
