vid,cid
1,10
2,6
3,5
4,5
5,4
6,3
7,6
8,2
9,4
10,7
11,10
12,1
13,3
14,4
15,2
16,3
17,6
18,4
19,4
20,3
21,4
22,9
23,2
24,3
25,3
26,6
27,8
28,6
29,2
30,6
31,3
32,6
33,10
34,6
35,8
36,9
37,10
38,7
39,7
40,1
41,1
42,8
43,5
44,1
45,4
46,6
47,6
48,5
49,6
50,2
51,3
52,3
53,3
54,8
55,6
56,8
57,2
58,9
59,4
60,6
61,6
62,1
63,3
64,2
65,6
66,10
67,1
68,6
69,1
70,9
71,2
72,7
73,10
74,2
75,6
76,3
77,3
78,3
79,3
80,8
81,2
82,6
83,3
84,6
85,10
86,2
