tid,vid
1,40
2,21
3,16
4,3
5,3
6,53
7,31
8,36
9,76
10,53
11,18
12,38
13,56
14,23
15,1
16,6
17,4
18,1
19,15
20,70
21,1
22,10
23,14
24,69
25,64
26,73
27,37
28,63
29,79
30,72
31,70
32,78
33,75
34,40
35,38
36,25
37,53
38,61
39,80
40,15
41,53
42,83
43,77
44,85
45,22
46,39
47,71
48,26
49,2
50,41
51,71
52,62
53,65
54,31
55,73
56,33
57,64
58,27
59,44
60,26
61,40
62,46
63,24
64,25
65,26
66,29
67,6
68,46
69,43
70,37
71,58
72,3
73,75
74,38
75,84
76,33
77,35
78,85
79,71
80,22
81,58
82,17
83,37
84,24
85,34
86,43
87,28
88,55
89,49
90,26
91,68
92,1
93,85
94,44
95,9
96,69
97,8
98,67
99,73
100,71
101,6
102,64
103,20
104,82
105,69
106,41
107,71
108,6
109,28
110,64
111,33
112,84
113,5
114,29
115,12
116,9
117,16
118,79
119,77
120,16
121,32
122,25
123,78
124,40
125,45
126,12
127,35
128,65
129,51
130,5
131,85
132,61
133,73
134,44
135,40
136,39
137,57
138,84
139,44
140,9
141,14
142,13
143,18
144,11
145,18
146,13
147,48
148,2
149,15
150,67
151,28
152,51
153,15
154,14
155,78
156,9
157,34
158,75
159,56
160,24
161,79
162,76
163,51
164,68
165,48
166,58
167,69
168,82
169,57
170,68
171,62
172,81
173,3
174,10
175,66
176,10
177,11
178,14
179,58
180,58
181,85
182,19
183,79
184,72
185,37
186,17
187,85
188,45
189,54
190,16
191,35
192,78
193,58
194,39
195,61
196,5
197,52
198,36
199,10
200,39
