rid,checkin,checkout
1,2018-07-27,2018-07-28
2,2019-01-21,2019-01-27
3,2018-05-18,2018-05-25
4,2020-01-02,2020-01-12
5,2019-07-19,2019-07-21
6,2018-01-23,2018-02-04
7,2018-06-27,2018-07-10
8,2019-08-03,2019-08-17
9,2020-11-27,2020-11-28
10,2018-01-05,2018-01-15
11,2018-08-20,2018-08-22
12,2019-10-23,2019-11-01
13,2020-09-04,2020-09-15
14,2018-07-07,2018-07-21
15,2020-04-11,2020-04-20
16,2018-06-23,2018-07-01
17,2018-09-05,2018-09-09
18,2020-03-04,2020-03-17
19,2018-07-18,2018-07-24
20,2018-09-01,2018-09-10
21,2019-05-06,2019-05-13
22,2019-04-01,2019-04-12
23,2018-11-26,2018-12-07
24,2019-06-07,2019-06-12
25,2018-01-16,2018-01-22
26,2018-12-20,2018-12-28
27,2018-12-21,2018-12-31
28,2019-07-06,2019-07-13
29,2018-02-13,2018-02-14
30,2018-01-24,2018-02-02
31,2020-02-14,2020-02-16
32,2020-05-27,2020-06-06
33,2018-02-09,2018-02-20
34,2019-12-04,2019-12-18
35,2018-01-18,2018-01-21
36,2020-08-20,2020-08-27
37,2019-12-26,2020-01-07
38,2018-05-18,2018-05-22
39,2018-12-13,2018-12-24
40,2018-10-15,2018-10-20
41,2018-09-11,2018-09-16
42,2019-01-16,2019-01-28
43,2019-09-06,2019-09-07
44,2018-10-03,2018-10-15
45,2018-12-15,2018-12-21
46,2019-07-04,2019-07-15
47,2018-05-23,2018-06-05
48,2020-07-14,2020-07-15
49,2019-12-05,2019-12-19
50,2018-07-25,2018-08-02
51,2020-07-15,2020-07-22
52,2019-09-21,2019-09-22
53,2019-05-05,2019-05-10
54,2018-11-19,2018-11-29
55,2020-12-27,2021-01-07
56,2019-11-08,2019-11-16
57,2020-12-04,2020-12-17
58,2018-10-08,2018-10-11
59,2018-02-14,2018-02-18
60,2019-02-28,2019-03-06
61,2020-11-26,2020-12-03
62,2019-04-12,2019-04-25
63,2018-06-18,2018-06-21
64,2020-09-13,2020-09-21
65,2020-11-17,2020-11-30
66,2019-01-16,2019-01-24
67,2018-12-17,2018-12-21
68,2019-02-13,2019-02-25
69,2018-09-09,2018-09-20
70,2019-09-08,2019-09-15
71,2019-11-05,2019-11-07
72,2018-04-28,2018-04-30
73,2018-08-24,2018-08-26
74,2020-10-08,2020-10-17
75,2019-07-21,2019-07-30
76,2020-01-09,2020-01-11
77,2019-05-06,2019-05-18
78,2019-05-12,2019-05-15
79,2019-01-11,2019-01-22
80,2018-06-06,2018-06-18
81,2018-08-22,2018-08-26
82,2019-02-26,2019-03-05
83,2018-07-03,2018-07-17
84,2019-04-15,2019-04-21
85,2018-05-26,2018-05-31
86,2019-03-13,2019-03-27
87,2019-05-28,2019-06-10
88,2018-06-06,2018-06-07
89,2020-06-07,2020-06-17
90,2018-10-10,2018-10-17
91,2019-06-03,2019-06-06
92,2018-12-13,2018-12-24
93,2018-08-13,2018-08-15
94,2020-01-19,2020-01-20
95,2020-08-26,2020-08-28
96,2020-06-01,2020-06-09
97,2018-09-09,2018-09-11
98,2020-12-08,2020-12-19
99,2019-07-25,2019-08-08
100,2018-12-11,2018-12-17
101,2018-12-11,2018-12-17
