tid,asiento,fechaviaje
1,752,2020-10-28
2,325,2020-02-02
3,469,2019-04-22
4,16,2020-01-08
5,18,2020-02-19
6,96,2019-07-01
7,613,2021-05-02
8,137,2019-04-09
9,144,2021-03-19
10,141,2018-04-10
11,29,2018-11-18
12,708,2020-05-06
13,335,2018-12-30
14,284,2021-09-03
15,370,2019-08-08
16,75,2020-11-12
17,30,2019-02-04
18,601,2019-09-20
19,517,2020-07-14
20,84,2019-04-18
21,229,2020-09-24
22,555,2019-10-09
23,332,2020-10-25
24,32,2021-03-10
25,7,2020-08-09
26,130,2019-06-11
27,328,2019-02-03
28,81,2020-08-29
29,36,2021-09-18
30,23,2019-05-05
31,154,2019-02-26
32,175,2020-08-09
33,763,2021-07-05
34,535,2018-12-13
35,102,2019-12-15
36,41,2020-04-10
37,32,2019-05-12
38,221,2019-05-19
39,595,2020-10-17
40,125,2018-11-08
41,15,2020-06-07
42,108,2018-08-08
43,66,2019-08-15
44,23,2019-08-13
45,115,2019-07-25
46,21,2021-04-11
47,788,2019-12-03
48,155,2018-10-08
49,40,2020-08-08
50,10,2020-01-14
51,567,2020-06-26
52,153,2019-03-07
53,72,2018-11-06
54,249,2021-03-15
55,503,2021-07-12
56,35,2018-10-31
57,38,2020-02-17
58,648,2020-09-21
59,85,2018-12-31
60,23,2020-12-06
61,31,2020-03-22
62,28,2020-07-07
63,553,2021-06-22
64,33,2020-09-09
65,130,2020-10-08
66,12,2021-08-12
67,451,2020-06-22
68,4,2021-06-15
69,90,2020-09-14
70,465,2019-03-19
71,168,2019-01-12
72,40,2020-08-30
73,325,2019-08-20
74,269,2021-05-06
75,38,2020-09-11
76,42,2020-12-01
77,19,2019-12-14
78,43,2020-06-17
79,570,2019-06-05
80,62,2019-07-14
81,174,2019-01-21
82,5,2018-04-02
83,168,2019-08-24
84,437,2019-12-07
85,26,2019-03-03
86,27,2020-10-29
87,63,2019-12-26
88,303,2020-06-16
89,395,2020-01-02
90,21,2020-06-23
91,123,2021-06-15
92,506,2019-04-11
93,37,2019-07-22
94,33,2020-08-06
95,24,2020-01-17
96,22,2018-10-02
97,7,2019-05-18
98,703,2020-12-05
99,413,2020-01-21
100,71,2019-10-11
101,256,2019-04-10
102,16,2019-09-20
103,381,2019-11-13
104,58,2021-04-16
105,28,2020-04-06
106,43,2019-01-10
107,235,2018-11-06
108,387,2019-01-24
109,64,2020-04-03
110,41,2020-03-11
111,27,2019-07-05
112,22,2020-10-19
113,709,2018-12-31
114,16,2018-05-24
115,33,2020-12-14
116,20,2019-05-09
117,312,2018-09-23
118,34,2019-12-09
119,169,2021-01-11
120,729,2019-04-22
121,30,2019-05-19
122,27,2019-06-07
123,216,2019-03-30
124,288,2018-09-05
125,11,2018-12-09
126,94,2019-09-27
127,352,2020-03-21
128,101,2020-04-16
129,117,2020-10-05
130,369,2019-11-15
131,27,2019-08-31
132,655,2018-12-07
133,673,2021-06-01
134,28,2018-07-18
135,351,2021-05-10
136,38,2019-10-26
137,386,2019-10-17
138,25,2020-05-25
139,195,2020-03-07
140,8,2018-07-05
141,470,2019-05-31
142,39,2019-05-03
143,9,2020-04-30
144,575,2020-07-09
145,13,2018-06-05
146,90,2018-06-25
147,795,2019-06-11
148,512,2018-10-15
149,317,2018-04-28
150,422,2020-04-03
151,643,2020-04-12
152,786,2019-11-09
153,660,2019-12-03
154,244,2020-10-02
155,89,2018-06-14
156,29,2018-08-20
157,41,2019-08-20
158,651,2019-07-03
159,683,2020-08-10
160,165,2021-02-08
161,6,2020-10-15
162,417,2018-12-22
163,36,2019-12-15
164,145,2021-05-10
165,566,2019-05-21
166,44,2020-03-15
167,4,2020-06-03
168,79,2018-09-15
169,12,2018-04-24
170,188,2021-04-13
171,151,2020-01-24
172,775,2021-04-13
173,35,2020-08-04
174,273,2019-03-07
175,158,2021-10-09
176,84,2019-01-19
177,737,2020-06-27
178,278,2020-03-22
179,160,2020-10-22
180,60,2019-06-17
181,13,2019-08-11
182,5,2020-04-22
183,42,2020-06-18
184,17,2019-03-02
185,53,2019-01-21
186,109,2019-06-18
187,12,2019-01-14
188,10,2020-08-14
189,318,2021-01-02
190,385,2021-03-22
191,591,2020-05-21
192,519,2021-03-20
193,99,2018-05-05
194,9,2019-01-20
195,788,2021-07-24
196,147,2021-02-06
197,188,2018-12-23
198,58,2020-01-19
199,794,2020-11-09
200,3,2019-03-25
