vid,horasalida,duracion,transporte,capacidad,precio
1,10:43:00,3,Tren,800,42
2,22:43:00,5,Tren,800,45
3,14:45:00,6,Bus,45,20
4,23:23:00,6,Bus,45,20
5,22:22:00,4,Tren,800,32
6,13:42:00,5,Tren,800,45
7,11:34:00,1,Tren,800,47
8,11:34:00,6,Bus,45,25
9,22:22:00,6,Bus,45,20
10,09:56:00,1,Tren,800,15
11,18:56:00,3,Tren,800,32
12,14:45:00,3,Avión,200,120
13,09:30:00,2,Avión,150,100
14,16:12:00,3,Tren,800,32
15,21:55:00,3,Tren,800,32
16,23:50:00,3,Tren,800,40
17,08:30:00,2,Avión,150,100
18,11:12:00,6,Bus,45,20
19,08:23:00,6,Bus,45,20
20,07:23:00,3,Tren,800,40
21,11:12:00,4,Tren,800,32
22,15:55:00,3,Avión,200,150
23,11:34:00,5,Tren,800,35
24,08:54:00,5,Tren,800,45
25,15:34:00,6,Bus,45,20
26,18:54:00,3,Avión,200,150
27,23:23:00,3,Tren,800,42
28,20:42:00,1,Tren,800,15
29,10:43:00,6,Bus,45,20
30,11:33:00,3,Avión,200,150
31,23:23:00,3,Tren,800,40
32,16:35:00,2,Avión,150,100
33,07:12:00,6,Bus,45,20
34,11:34:00,1,Bus,45,12
35,11:23:00,3,Tren,800,42
36,20:23:00,3,Avión,200,150
37,07:12:00,3,Tren,800,32
38,23:32:00,1,Tren,800,15
39,23:32:00,1,Bus,45,12
40,08:54:00,5,Tren,800,35
41,13:42:00,6,Bus,45,25
42,09:34:00,3,Tren,800,47
43,23:23:00,3,Tren,800,32
44,23:56:00,3,Avión,200,120
45,16:12:00,6,Bus,45,20
46,12:50:00,2,Avión,150,100
47,11:34:00,1,Tren,800,15
48,14:45:00,3,Tren,800,32
49,20:42:00,1,Tren,800,47
50,22:43:00,6,Bus,45,25
51,11:34:00,5,Tren,800,45
52,07:12:00,3,Avión,200,120
53,15:45:00,2,Avión,150,100
54,23:32:00,1,Tren,800,47
55,09:56:00,1,Tren,800,47
56,11:22:00,3,Tren,800,47
57,10:43:00,3,Tren,800,32
58,10:05:00,3,Avión,200,150
59,08:23:00,3,Tren,800,32
60,14:25:00,3,Avión,200,150
61,15:21:00,3,Tren,800,45
62,06:17:00,3,Avión,200,120
63,21:34:00,3,Avión,200,120
64,21:55:00,6,Bus,45,20
65,22:12:00,2,Avión,150,100
66,18:56:00,3,Tren,800,42
67,13:42:00,5,Tren,800,35
68,22:30:00,3,Avión,200,150
69,08:54:00,6,Bus,45,25
70,12:34:00,3,Avión,200,150
71,14:45:00,3,Tren,800,40
72,09:56:00,1,Bus,45,12
73,07:12:00,3,Tren,800,42
74,16:12:00,3,Tren,800,40
75,09:23:00,3,Tren,800,45
76,09:56:00,4,Tren,800,32
77,13:15:00,3,Avión,200,120
78,15:34:00,4,Tren,800,32
79,09:56:00,6,Bus,45,20
80,21:55:00,3,Tren,800,42
81,08:23:00,3,Tren,800,49
82,09:55:00,3,Avión,200,150
83,23:43:00,2,Avión,150,100
84,20:42:00,1,Bus,45,12
85,18:56:00,6,Bus,45,20
86,22:43:00,5,Tren,800,35
